Country,Actual,Predicted,Accuracy (%)
Luxembourg,2139,8720,91.343
England,355977,482753,91.343
Romania,82147,75360,91.343
Russia,317501,378169,91.343
Czechia,31674,41095,91.343
Switzerland,19458,23361,91.343
Mongolia,16584,25553,91.343
Malaysia,17668,15780,91.343
Chile,298487,312681,91.343
Hong Kong,23387,24460,91.343
Wales,21584,30236,91.343
Argentina,92677,93062,91.343
Luxembourg,1028,5684,91.343
Romania,57601,58405,91.343
Moldova,6417,14910,91.343
Belgium,71665,69357,91.343
Finland,8157,7152,91.343
Uruguay,33378,25901,91.343
Croatia,14861,20404,91.343
Scotland,6479,10893,91.343
South Africa,7176,11029,91.343
Turkey,236445,364224,91.343
Iceland,1129,6899,91.343
Estonia,1112,4135,91.343
Chile,180428,64477,91.343
Switzerland,18663,26223,91.343
England,495249,673145,91.343
Ireland,19333,19951,91.343
Wales,23474,37057,91.343
Turkey,217687,385842,91.343
Namibia,422,3476,91.343
Switzerland,23021,35882,91.343
Dominican Republic,91421,121714,91.343
Denmark,12043,13560,91.343
Germany,123658,61419,91.343
Estonia,8744,21069,91.343
Belgium,103812,94181,91.343
Panama,9711,13103,91.343
Bahrain,8713,18130,91.343
Brazil,143026,296908,91.343
New Zealand,16401,23728,91.343
Peru,21577,21760,91.343
Serbia,35715,43585,91.343
Mexico,508014,345190,91.343
Thailand,215430,208146,91.343
Trinidad and Tobago,3601,8958,91.343
South Africa,52164,63681,91.343
England,427355,438697,91.343
Switzerland,21403,11415,91.343
Northern Ireland,13550,27088,91.343
Norway,28065,58491,91.343
Bulgaria,1769,6364,91.343
Mexico,4300,8868,91.343
Canada,273217,247578,91.343
Sri Lanka,67503,109210,91.343
Bulgaria,2399,5564,91.343
Estonia,6751,17956,91.343
Chile,254024,303657,91.343
Switzerland,21230,13555,91.343
United States,2248285,2448425,91.343
Argentina,162428,145796,91.343
Montenegro,7897,21888,91.343
Norway,26648,70724,91.343
Romania,51138,46039,91.343
Croatia,14338,21692,91.343
United States,1951333,1935827,91.343
United Kingdom,394376,388689,91.343
Wales,22849,37132,91.343
Greece,52417,63489,91.343
Malaysia,22514,27093,91.343
Slovenia,15336,25165,91.343
Finland,16047,22955,91.343
Italy,554442,527906,91.343
Czechia,68034,83243,91.343
United States,3015065,1884864,91.343
Argentina,10342,7576,91.343
Serbia,37751,47343,91.343
Switzerland,89486,93389,91.343
Belgium,68015,53406,91.343
Austria,32281,28944,91.343
Luxembourg,4168,15190,91.343
Italy,494077,444209,91.343
Morocco,221736,245200,91.343
Austria,29154,39286,91.343
Belgium,64534,60066,91.343
Hong Kong,32208,37448,91.343
Chile,5980,15926,91.343
Scotland,45199,55686,91.343
Lebanon,12301,10948,91.343
Portugal,26096,37677,91.343
Kenya,12161,28792,91.343
Cambodia,45350,23126,91.343
Bahrain,13890,24084,91.343
Malta,4318,18080,91.343
Chile,143619,124213,91.343
Brazil,506249,478729,91.343
Argentina,87032,65332,91.343
South Africa,4431,7608,91.343
Moldova,12828,11662,91.343
Israel,6357,26478,91.343
Australia,105494,142754,91.343
Cuba,129832,61979,91.343
England,275621,403468,91.343
Latvia,871,3624,91.343
Lithuania,1732,8504,91.343
Qatar,29477,39508,91.343
Scotland,48884,58114,91.343
Belgium,79212,88651,91.343
Cambodia,33509,42196,91.343
Israel,69695,107424,91.343
Liberia,519,4713,91.343
France,115129,117711,91.343
Belgium,1996,8517,91.343
Spain,296222,350114,91.343
Ireland,34872,32847,91.343
Scotland,45330,56211,91.343
Bulgaria,9870,8641,91.343
United Kingdom,503641,543114,91.343
Chile,26223,115107,91.343
Indonesia,58521,52182,91.343
Mongolia,61857,78531,91.343
India,955392,164251,91.343
Chile,177154,67205,91.343
Indonesia,228333,260817,91.343
Germany,84228,89771,91.343
Argentina,162824,134156,91.343
Norway,15778,27338,91.343
Albania,5599,12236,91.343
South Africa,58243,76449,91.343
Mongolia,12097,23011,91.343
El Salvador,41467,45322,91.343
Greece,93532,95635,91.343
Estonia,1806,4979,91.343
India,3269892,2482631,91.343
Macao,2061,8025,91.343
Brazil,211604,64955,91.343
Canada,30686,27922,91.343
Canada,349373,373381,91.343
Macao,2049,8172,91.343
United States,2158020,2176315,91.343
Japan,39284,39792,91.343
Morocco,189216,176443,91.343
Turkey,379816,339339,91.343
Germany,669311,335359,91.343
Bulgaria,21725,32073,91.343
Austria,72654,48880,91.343
Paraguay,3235,7660,91.343
Canada,91354,81225,91.343
Liechtenstein,232,10130,91.343
Argentina,146486,131007,91.343
Canada,184358,177064,91.343
Luxembourg,3484,14000,91.343
Belgium,62602,65307,91.343
Hungary,88443,79044,91.343
Bolivia,14893,15325,91.343
Northern Ireland,12385,21193,91.343
Guatemala,2948,6134,91.343
Latvia,5301,8769,91.343
Austria,71284,61782,91.343
Switzerland,18827,19823,91.343
Liechtenstein,394,15197,91.343
Guatemala,10027,8599,91.343
Barbados,4255,22455,91.343
United Kingdom,349781,487887,91.343
Czechia,52765,71406,91.343
Canada,450790,507345,91.343
Poland,318415,368548,91.343
Sri Lanka,40921,29260,91.343
Dominican Republic,36075,38810,91.343
Estonia,5504,17033,91.343
Ireland,8995,10656,91.343
Denmark,15673,24619,91.343
Aruba,623,10142,91.343
Maldives,3152,13318,91.343
New Zealand,12035,17010,91.343
Paraguay,12432,7443,91.343
Isle of Man,713,13354,91.343
Romania,79580,78564,91.343
Brazil,1352814,783583,91.343
Indonesia,91687,106830,91.343
Liechtenstein,280,11751,91.343
Palestine,5626,11004,91.343
Liechtenstein,104,6174,91.343
Latvia,12960,19433,91.343
Colombia,204789,153992,91.343
Malta,4778,19131,91.343
Iceland,1758,13399,91.343
Uruguay,42251,56364,91.343
Faeroe Islands,331,11124,91.343
Lithuania,6467,11897,91.343
Iceland,1016,7047,91.343
England,357725,403411,91.343
Poland,64761,88168,91.343
Slovakia,5612,10607,91.343
Czechia,10700,14683,91.343
Brazil,164909,193604,91.343
North Macedonia,10556,16419,91.343
Dominican Republic,37916,34661,91.343
Thailand,41909,58274,91.343
Argentina,93883,112105,91.343
Slovenia,5837,17834,91.343
India,3431874,3082611,91.343
Guatemala,3106,5393,91.343
Belgium,88197,112405,91.343
Germany,239531,221223,91.343
Denmark,31858,30529,91.343
Turkey,254566,335286,91.343
Luxembourg,604,4685,91.343
Finland,16295,14484,91.343
Canada,183962,182110,91.343
New Zealand,8133,9606,91.343
Denmark,10362,9143,91.343
United Kingdom,391872,295350,91.343
Israel,2636,26739,91.343
France,197335,233176,91.343
Russia,367571,164134,91.343
Bulgaria,9902,17094,91.343
India,2134932,3177087,91.343
Isle of Man,844,15294,91.343
United Kingdom,424070,537385,91.343
Albania,7931,11942,91.343
Lithuania,6969,13218,91.343
United Kingdom,357218,371298,91.343
Croatia,9027,20226,91.343
Germany,271881,229443,91.343
Thailand,54519,52484,91.343
Japan,48562,38053,91.343
Luxembourg,841,5278,91.343
Northern Ireland,8332,16628,91.343
Japan,63462,97393,91.343
Wales,19172,38372,91.343
Malaysia,27833,26179,91.343
Denmark,18917,28408,91.343
Slovakia,25199,31493,91.343
Switzerland,43587,55260,91.343
Norway,17730,13517,91.343
United Kingdom,482546,431551,91.343
